Age_Group,2020,2025,2030,2035,2040,2045,2050
0-4yo,521560,481289,492341,508637,503013,488484,468372
10-14yo,514532,535102,512190,475903,485904,501029,494711
15-19yo,550705,572140,593925,565791,524307,533036,547757
20-24yo,857660,814575,836895,856481,811639,744755,748978
25-29yo,987393,1007188,958806,976542,992384,935573,854010
30-34yo,958959,993389,1025332,974591,986333,996359,934881
35-39yo,1009207,938393,976733,1008839,958079,966217,972694
40-44yo,1065587,994175,930478,966173,998103,947523,953805
45-49yo,1184918,1057893,992666,927868,961539,993432,943070
5-9yo,532323,507307,471728,482012,497440,491495,476877
50-54yo,1067683,1165487,1041378,976302,912069,944488,976245
55-59yo,894511,1039512,1135272,1012937,949123,886890,918630
60-64yo,707805,856151,995556,1088734,970159,909088,850336
65-69yo,696092,670668,813199,948100,1038550,925161,867585
70-74yo,804285,648947,627938,762638,891883,979028,872788
75-79yo,646882,725300,588138,572581,697728,819300,901833
80-84yo,499679,544954,620361,503785,495189,607248,717612
85-89yo,343868,372358,412889,479465,390300,389856,483459
90-94yo,156412,202348,224573,254292,305111,249333,255244
95-yo,47533,71738,98193,117312,138566,174446,160257
city,a,a,a,a,a,a,a
code,13000,13000,13000,13000,13000,13000,13000
prefectures,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo,Tokyo
